Ferchu Asanza Nuñez|FerchuAsanza|23|124|0|57|
Luis Armas|luigi2248|43|489|0|910|
Danilo|Danilo96684333|0|21|0|0|
vinicio requelme|RequelmeVinicio|0|100|0|0|
Cecilia Reyes Rojas|cecireyes73yaho|6|79|0|0|
Jonatika77|jonatha40240367|7|302|0|29|
Ilmed R|IlmedR|0|78|0|2|
Fernando vasconez|Ferldu|14|95|0|3|
Sergio Reinoso Mora|SergioReinosoM|21|285|0|5|
BIODRY LATINOAMERICA|BiodryL|1|63|0|1|
Carlos Torres|T_carlos42|256|226|0|663|
CTE Informativa Azuay|CteAzuay|10|46|0|2|
Bryan|Bryan13181054|1|57|0|0|
GPasivoAguantadorMamador🍆🍑👌💧|pv_gus|5|432|0|281|
Zeudy|Zeudy16|1|26|0|2|
Efrain|Efrain62054125|7|163|0|11|
Carlos Damián|CarlosDamian_08|20|348|0|104|
Mauricio Mogollon|mauricio0771999|6|142|0|2|
Diamante Puro|juankdiamante|0|34|0|9|
Shady Borbon|BorbonShady|35|368|0|9|
