Vivi Paredes|ViviParedes19|0|14|0|4|
Luis Armas|luigi2248|43|489|0|910|
Edgar S. Silvestre|dopupe|21|51|0|3|
Danilo|Danilo96684333|0|21|0|0|
vinicio requelme|RequelmeVinicio|0|100|0|0|
Jonatika77|jonatha40240367|7|302|0|29|
Ignacio vicente indacochea medina|Ignacio02568121|2|16|0|1|
Ilmed R|IlmedR|0|78|0|2|
Ferchu Asanza Nuñez|FerchuAsanza|23|124|0|57|
Luis Gonzalez|LuisGon71511477|1|42|0|0|
oscar parrales|oparrales2011|138|946|0|4963|
BIODRY LATINOAMERICA|BiodryL|1|63|0|1|
Bryan|Bryan13181054|1|57|0|0|
CTE Informativa Azuay|CteAzuay|10|46|0|2|
Efrain|Efrain62054125|7|163|0|11|
Carlos Damián|CarlosDamian_08|20|348|0|104|
Mauricio Mogollon|mauricio0771999|6|142|0|2|
Dario Salgado|DarioSalgadoBSC|28|69|0|3|
Diamante Puro|juankdiamante|0|34|0|9|
Angel Eduardo Guisamano Ruano|GuisamanoRuano|306|5001|0|8645|
